date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2024-03-25,BUY,AURE3.SA,1966,11.9500,45.2405,2024-03-25,2024-03-25,WEEKLY_BUY
2024-09-30,SELL,BEEF3.SA,8100,6.4900,88.8535,2024-10-02,2024-10-02,IDIOSYNCRATIC_HARD_STOP
2024-09-30,BUY,B3SA3.SA,1927,10.7300,41.0151,2024-09-30,2024-09-30,WEEKLY_BUY
2024-10-08,SELL,AURE3.SA,1966,10.2400,40.1978,2024-10-10,2024-10-10,IDIOSYNCRATIC_HARD_STOP
2024-10-08,SELL,B3SA3.SA,1927,10.5500,40.4948,2024-10-10,2024-10-10,IDIOSYNCRATIC_HARD_STOP
2024-10-14,BUY,BBDC4.SA,2556,14.8000,66.7432,2024-10-14,2024-10-14,WEEKLY_BUY
2024-10-14,BUY,BEEF3.SA,6823,5.5400,66.6991,2024-10-14,2024-10-14,WEEKLY_BUY
2024-10-15,SELL,BEEF3.SA,6823,5.5500,66.8015,2024-10-17,2024-10-17,IDIOSYNCRATIC_HARD_STOP
2024-10-21,BUY,COGN3.SA,27977,1.3500,66.6534,2024-10-21,2024-10-21,WEEKLY_BUY
2024-11-29,SELL,BBDC4.SA,2556,12.7600,58.9218,2024-12-03,2024-12-03,IDIOSYNCRATIC_HARD_STOP
2024-12-02,BUY,AURE3.SA,1911,9.8600,38.2637,2024-12-02,2024-12-02,WEEKLY_BUY
2024-12-03,SELL,COGN3.SA,27977,1.2500,62.4569,2024-12-05,2024-12-05,IDIOSYNCRATIC_HARD_STOP
2024-12-09,BUY,B3SA3.SA,4344,9.9300,74.7039,2024-12-09,2024-12-09,WEEKLY_BUY
2024-12-10,SELL,B3SA3.SA,4344,10.0000,75.1600,2024-12-12,2024-12-12,IDIOSYNCRATIC_HARD_STOP
2024-12-16,BUY,BBDC4.SA,3571,12.1000,74.8137,2024-12-16,2024-12-16,WEEKLY_BUY
2024-12-17,SELL,BBDC4.SA,3571,11.9000,73.7423,2024-12-19,2024-12-19,IDIOSYNCRATIC_HARD_STOP
2024-12-19,SELL,ITSA4.SA,6231,8.7000,91.3145,2024-12-23,2024-12-23,IDIOSYNCRATIC_HARD_STOP
2024-12-19,SELL,BPAC11.SA,1998,27.6200,92.7771,2024-12-23,2024-12-23,IDIOSYNCRATIC_HARD_STOP
2024-12-23,BUY,BEEF3.SA,8789,5.5400,83.0366,2024-12-23,2024-12-23,WEEKLY_BUY
2024-12-23,BUY,COGN3.SA,44649,1.0900,83.0011,2024-12-23,2024-12-23,WEEKLY_BUY
2024-12-23,BUY,ELET3.SA,1380,35.2300,82.9261,2024-12-23,2024-12-23,WEEKLY_BUY
2024-12-26,SELL,COGN3.SA,44649,1.0700,81.6616,2024-12-30,2024-12-30,IDIOSYNCRATIC_HARD_STOP
