DOC_AUDIT_MARKET_PRICES_V1 - S2_PRICES_INVENTORY_FILESYSTEM

N_FILES 122
FILE, TICKER, SIZE, MTIME, NAME_OK
('USIM5_SA.parquet', 'USIM5_SA', 22751, 1764706864, True)
('VALE3_SA.parquet', 'VALE3_SA', 25602, 1764706860, True)
('VBBR3_SA.parquet', 'VBBR3_SA', 25248, 1764706929, True)
('VISA34_SA.parquet', 'VISA34_SA', 24029, 1764706947, True)
('VIVA3_SA.parquet', 'VIVA3_SA', 24080, 1764706889, True)
('VIVT3_SA.parquet', 'VIVT3_SA', 24325, 1764706914, True)
('WALM34_SA.parquet', 'WALM34_SA', 24291, 1764706953, True)
('WEGE3_SA.parquet', 'WEGE3_SA', 24621, 1764706903, True)
('WIZC3_SA.parquet', 'WIZC3_SA', 20655, 1764706858, True)
('YDUQ3_SA.parquet', 'YDUQ3_SA', 24084, 1764706893, True)
('sample_market_data.parquet', 'sample_market_data', 256315, 1769090990, False)

ZERO_BYTES 0

OUT_OF_PATTERN 1
('sample_market_data.parquet', 'sample_market_data', 256315, 1769090990, False)

DUPLICATE_NORMALIZED 0
