date,ticker,qty
2025-05-12,AURE3.SA,3393
2025-05-12,B3SA3.SA,3783
2025-05-12,BBAS3.SA,2877
2025-05-12,BBDC4.SA,3297
2025-05-12,BEEF3.SA,3853
2025-05-12,BPAC11.SA,2086
2025-05-12,CMIG4.SA,5822
2025-05-12,COGN3.SA,23518
2025-05-13,ABEV3.SA,3442
2025-05-13,AURE3.SA,3393
2025-05-13,B3SA3.SA,3783
2025-05-13,BBAS3.SA,2877
2025-05-13,BBDC4.SA,3297
2025-05-13,BEEF3.SA,3853
2025-05-13,BPAC11.SA,2086
2025-05-13,CMIG4.SA,5822
2025-05-13,COGN3.SA,23518
2025-05-14,ABEV3.SA,3442
2025-05-14,AURE3.SA,3393
2025-05-14,B3SA3.SA,3783
2025-05-14,BBAS3.SA,2877
2025-05-14,BBDC4.SA,3297
2025-05-14,BEEF3.SA,3853
2025-05-14,BPAC11.SA,2086
2025-05-14,CMIG4.SA,5822
2025-05-14,COGN3.SA,23518
2025-05-15,ABEV3.SA,3442
2025-05-15,AURE3.SA,3393
2025-05-15,B3SA3.SA,3783
2025-05-15,BBAS3.SA,2877
2025-05-15,BBDC4.SA,3297
2025-05-15,BEEF3.SA,3853
2025-05-15,BPAC11.SA,2086
2025-05-15,CMIG4.SA,5822
2025-05-15,COGN3.SA,23518
2025-05-16,ABEV3.SA,3442
2025-05-16,AURE3.SA,3393
2025-05-16,B3SA3.SA,3783
2025-05-16,BBAS3.SA,2877
2025-05-16,BBDC4.SA,3297
2025-05-16,BEEF3.SA,3853
2025-05-16,BPAC11.SA,2086
2025-05-16,CMIG4.SA,5822
2025-05-16,COGN3.SA,23518
2025-05-19,ABEV3.SA,3442
2025-05-19,AURE3.SA,3393
2025-05-19,B3SA3.SA,3783
2025-05-19,BBAS3.SA,2877
2025-05-19,BBDC4.SA,3297
2025-05-19,BEEF3.SA,3853
2025-05-19,BPAC11.SA,2086
2025-05-19,CMIG4.SA,5822
2025-05-19,COGN3.SA,23518
2025-05-20,ABEV3.SA,3442
2025-05-20,AURE3.SA,3393
2025-05-20,B3SA3.SA,3783
2025-05-20,BBAS3.SA,2877
2025-05-20,BBDC4.SA,3297
2025-05-20,BEEF3.SA,3853
2025-05-20,BPAC11.SA,2086
2025-05-20,CMIG4.SA,5822
2025-05-20,COGN3.SA,23518
2025-05-21,ABEV3.SA,3442
